,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
0,andaman and nicobar island,arecanut,autumn     ,nicobars,4150.0,3090.0,0.745,nan,nan
1,andaman and nicobar island,arecanut,kharif     ,nicobars,1649.2,2492.0,1.543333333,nan,nan
2,andaman and nicobar island,arecanut,kharif     ,north and middle andaman,3100.0,5219.5,1.685,nan,nan
3,andaman and nicobar island,arecanut,rabi       ,nicobars,885.0,762.8181818,0.747272727,nan,nan
4,andaman and nicobar island,arecanut,rabi       ,north and middle andaman,1622.0,4047.7,2.467,nan,nan
5,andaman and nicobar island,arecanut,rabi       ,south andamans,1838.159,4964.9,3.038,nan,nan
6,andaman and nicobar island,arecanut,summer     ,nicobars,4150.0,2370.0,0.57,nan,nan
7,andaman and nicobar island,arecanut,whole year ,nicobars,1095.074,1223.0,0.808,nan,nan
8,andaman and nicobar island,arecanut,whole year ,north and middle andaman,1160.0,3012.0,2.6,nan,nan
9,andaman and nicobar island,arecanut,whole year ,south andamans,2926.89,3966.4,1.348,nan,nan
10,andaman and nicobar island,arhar/tur,rabi       ,north and middle andaman,67.12222222,35.11111111,1.265555556,nan,nan
11,andaman and nicobar island,arhar/tur,rabi       ,south andamans,5.625,3.25,0.46,nan,nan
12,andaman and nicobar island,arhar/tur,summer     ,north and middle andaman,231.0,128.0,0.6,nan,nan
13,andaman and nicobar island,banana,autumn     ,nicobars,796.5,7572.5,9.51,nan,nan
14,andaman and nicobar island,banana,kharif     ,nicobars,837.95,7451.0,8.89,nan,nan
15,andaman and nicobar island,banana,rabi       ,nicobars,685.59,6096.0,8.89,nan,nan
16,andaman and nicobar island,banana,summer     ,nicobars,796.0,7572.5,9.515,nan,nan
17,andaman and nicobar island,banana,whole year ,nicobars,403.67925,1365.4375,6.095625,nan,nan
18,andaman and nicobar island,banana,whole year ,north and middle andaman,972.4233333,8550.333333,9.1625,nan,nan
19,andaman and nicobar island,banana,whole year ,south andamans,729.1133333,7818.333333,13.26466667,nan,nan
20,andaman and nicobar island,black pepper,autumn     ,nicobars,606.5,33.0,0.055,nan,nan
21,andaman and nicobar island,black pepper,kharif     ,nicobars,366.16,21.0,0.06,nan,nan
22,andaman and nicobar island,black pepper,rabi       ,nicobars,35.12818182,3.181818182,0.122727273,nan,nan
23,andaman and nicobar island,black pepper,rabi       ,north and middle andaman,95.951,11.4,0.16,nan,nan
24,andaman and nicobar island,black pepper,rabi       ,south andamans,274.556,79.8,0.655,nan,nan
25,andaman and nicobar island,black pepper,summer     ,nicobars,606.5,14.0,0.025,nan,nan
26,andaman and nicobar island,black pepper,whole year ,nicobars,57.332,9.4,0.128,nan,nan
27,andaman and nicobar island,black pepper,whole year ,north and middle andaman,175.0,191.0,1.09,nan,nan
28,andaman and nicobar island,black pepper,whole year ,south andamans,524.71,73.4,0.14,nan,nan
29,andaman and nicobar island,cashewnut,rabi       ,nicobars,651.37,177.1,0.441,nan,nan
30,andaman and nicobar island,cashewnut,rabi       ,north and middle andaman,74.432,23.1,0.441,nan,nan
31,andaman and nicobar island,cashewnut,rabi       ,south andamans,20.54,20.2,1.051,nan,nan
32,andaman and nicobar island,cashewnut,whole year ,nicobars,636.9285714,159.0,0.24,nan,nan
33,andaman and nicobar island,cashewnut,whole year ,north and middle andaman,67.16666667,43.66666667,0.726666667,nan,nan
34,andaman and nicobar island,cashewnut,whole year ,south andamans,102.4,26.2,0.266,nan,nan
35,andaman and nicobar island,coconut ,whole year ,nicobars,18692.1505,77372000.0,4630.6755,nan,nan
36,andaman and nicobar island,coconut ,whole year ,north and middle andaman,3669.877692,16272307.69,4815.498462,nan,nan
37,andaman and nicobar island,coconut ,whole year ,south andamans,4245.316,19555333.33,5166.812,nan,nan
38,andaman and nicobar island,cowpea(lobia),rabi       ,nicobars,22.12,60.0,2.698,nan,nan
39,andaman and nicobar island,cowpea(lobia),rabi       ,north and middle andaman,365.6,1891.0,5.102,nan,nan
40,andaman and nicobar island,cowpea(lobia),rabi       ,south andamans,95.88333333,642.2,5.083333333,nan,nan
41,andaman and nicobar island,dry chillies,kharif     ,nicobars,218.2,410.0,1.88,nan,nan
42,andaman and nicobar island,dry chillies,rabi       ,nicobars,21.19727273,33.54545455,1.058181818,nan,nan
43,andaman and nicobar island,dry chillies,rabi       ,north and middle andaman,165.477,442.0,2.998,nan,nan
44,andaman and nicobar island,dry chillies,rabi       ,south andamans,78.922,337.4,7.204,nan,nan
45,andaman and nicobar island,dry chillies,summer     ,nicobars,387.5,566.5,1.46,nan,nan
